PROBE_ID	SYMBOL	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval						
ILMN_1676846	ABCE1	339.718	0	384.2969	0	531.6354	0	367.5338	0	184.3379	0	208.7836	0	157.2204	0	213.2516	0						
ILMN_1763875	ABCF1	2082.688	0	2134.922	0	2622.361	0	2017.757	0	1130.171	0	1288.808	0	1059.566	0	1175.226	0						
ILMN_1669201	ABCF2	146.7378	0	141.5813	0	185.3182	0	136.064	0	95.2905	0.001412429	110.5713	0	91.60145	0.001412429	102.1664	0						
ILMN_1709222	ABCF2	65.00615	0.1822034	58.09758	0.3940678	54.27992	0.9420904	59.37229	0.5028248	81.76086	0.002824859	92.21162	0.004237288	76.26384	0.01553672	83.58853	0.002824859						
ILMN_1781999	ABCF2	248.6729	0	231.9831	0	306.1584	0	217.8608	0	104.0666	0	122.2615	0	112.5048	0	126.2223	0						
ILMN_1810085	ABCF3	156.8616	0	143.2739	0	172.5653	0	147.241	0	127.4696	0	167.4701	0	136.8483	0	140.3147	0						
ILMN_1658176	ABCG1	114.9583	0	109.8178	0	121.9319	0	107.4494	0	108.0676	0	124.5333	0	113.2759	0	130.6524	0						
ILMN_1695968	ABCG1	63.52519	0.2471751	53.68433	0.700565	57.07756	0.8276836	54.92619	0.8079096	62.16132	0.3375706	61.36555	0.7090396	59.58361	0.5155367	58.77003	0.5621469						
ILMN_1743638	ABCG1	64.23251	0.210452	50.21659	0.8912429	64.43841	0.3841808	57.49701	0.6468927	72.63986	0.03531073	66.57278	0.3841808	56.63397	0.7175141	60.26892	0.4590395						
ILMN_1794782	ABCG1	175.5098	0	183.627	0	229.7306	0	184.7001	0	515.2532	0	632.9428	0	459.5074	0	622.6559	0						
ILMN_1696877	ABCG1	61.44582	0.3432204	64.32238	0.09745762	65.01438	0.3531073	63.97563	0.2471751	63.42682	0.25	62.67118	0.6271186	53.4081	0.8912429	58.65141	0.569209						
ILMN_1789641	ABCG2	53.6652	0.8587571	54.01375	0.6864407	50.85703	0.9872881	53.65269	0.8629944	66.98624	0.1257062	75.40585	0.07485875	60.91259	0.4293785	72.53223	0.04661017						
ILMN_1674221	ABCG4	52.1731	0.9110169	49.97455	0.8983051	62.74106	0.4788136	50.96783	0.9420904	56.83672	0.6991525	55.3222	0.9378531	58.24086	0.6228814	54.0051	0.8545198						
ILMN_1716592	ABCG5	63.78509	0.230226	56.71786	0.4774011	66.15268	0.2966102	59.69006	0.4788136	60.92529	0.4096045	64.43732	0.5169492	72.10333	0.04378531	62.52274	0.3276836						
ILMN_1680309	ABCG8	59.51876	0.4661017	58.49057	0.3714689	54.97307	0.9265537	54.27275	0.8361582	54.49371	0.8347458	57.20809	0.8968927	62.9966	0.3036723	61.54139	0.3644068						
ILMN_1743371	ABHD1	137.8648	0	117.9573	0	180.8087	0	120.5108	0	62.58761	0.3050847	59.50975	0.8064972	59.56991	0.519774	61.03479	0.4011299						
ILMN_1770031	ABHD10	398.7007	0	411.1675	0	516.9437	0	365.641	0	191.1308	0	231.5864	0	205.5698	0	190.8604	0						
ILMN_1753912	ABHD11	53.49138	0.8658192	56.69762	0.4816384	66.07296	0.299435	57.89893	0.6087571	73.81163	0.02824859	64.03724	0.549435	61.43178	0.391243	60.95494	0.4039548						
ILMN_1737475	ABHD11	81.94765	0.001412429	71.39497	0.01694915	77.45384	0.02542373	60.00087	0.450565	79.86002	0.008474576	82.5986	0.01129944	88.19284	0.001412429	74.96332	0.0240113						
ILMN_1745116	ABHD12	188.2784	0	205.3567	0	244.8626	0	192.2439	0	199.4389	0	233.8872	0	202.8426	0	221.1753	0						
ILMN_1785285	ABHD13	58.59739	0.5381356	65.7372	0.0720339	65.25586	0.3474576	63.21012	0.289548	68.6441	0.08474576	69.35915	0.2344633	63.76366	0.2542373	60.52258	0.430791						
ILMN_1794213	ABHD14A	402.4451	0	425.5451	0	511.0146	0	404.3797	0	346.2566	0	367.3647	0	342.2362	0	391.3107	0						
ILMN_1801260	ABHD14B	232.149	0	230.1801	0	256.423	0	221.0888	0	373.4059	0	386.5414	0	325.4538	0	414.5141	0						
ILMN_1787618	ABHD2	62.22116	0.299435	58.61214	0.3672316	59.43458	0.6878531	56.50844	0.7175141	61.21415	0.391243	70.04231	0.210452	61.57714	0.3855932	55.15706	0.7881356						
ILMN_1723662	ABHD2	303.2638	0	266.2112	0	329.2697	0	255.9612	0	85.94375	0.002824859	108.4881	0.001412429	99.36661	0	111.1839	0						
ILMN_1801767	ABHD3	96.23968	0	88.03202	0	120.7064	0	93.74125	0.001412429	144.2181	0	136.2945	0	109.5249	0	151.1149	0						
ILMN_1700633	ABHD4	277.2503	0	268.4785	0	294.3611	0	245.7811	0	113.0502	0	132.8556	0	99.97679	0	99.58879	0						
ILMN_1655702	ABHD5	133.061	0	142.4296	0	237.2589	0	144.2628	0	209.3208	0	238.8598	0	177.0144	0	245.983	0						
ILMN_1706344	ABHD6	211.2904	0	222.2464	0	277.3878	0	208.538	0	212.6576	0	226.4373	0	176.022	0	210.2095	0						
ILMN_1719498	ABHD7	145.1378	0	123.2454	0	169.4728	0	128.5487	0	74.38091	0.0240113	81.70361	0.01694915	79.37998	0.009887005	69.2179	0.08615819						
ILMN_1712707	ABHD8	387.3836	0	372.8546	0	444.6262	0	368.503	0	305.9348	0	379.5682	0	342.271	0	399.5349	0						
ILMN_1699750	ABHD9	81.92019	0.001412429	79.96347	0.002824859	94.96845	0.001412429	87.56529	0.001412429	87.63477	0.002824859	108.2986	0.001412429	90.28045	0.001412429	87.92522	0.001412429						
ILMN_1739081	ABI1	70.03816	0.06497175	67.85485	0.03954802	72.67382	0.07485875	69.91202	0.05508475	67.88958	0.1059322	78.00675	0.04096045	66.00766	0.1638418	69.49734	0.08192091						
ILMN_1806476	ABI1	299.5465	0	306.2171	0	453.1777	0	319.2358	0	348.3446	0	432.9727	0	317.9908	0	398.6271	0						
ILMN_1720988	ABI2	75.12932	0.01836158	80.39857	0.002824859	97.96873	0.001412429	76.98311	0.005649718	65.75769	0.1638418	77.13752	0.05367232	68.79527	0.1002825	63.78126	0.2655367						
ILMN_1724497	ABI2	777.8829	0	744.4197	0	1012.571	0	708.6737	0	163.041	0	198.3665	0	161.951	0	187.3449	0						
